"PointID","x","y","Density_0","Density_1","Density_2","Momentum_x","Momentum_y","Energy","Energy_ve"
2626, 5.500814739375434e-02, 1.256055974905142e-03, 1.018811343530964e-01, 7.698826273533621e-04, 1.026697767672532e-13, 1.236842335799530e+01, 1.152700929884877e+00, 1.483220168818542e+05, 3.300773839610761e+03
2627, 5.480322554346391e-02, 4.516369121899300e-03, 2.272456123988115e-01, 1.717221252386021e-03, 2.273959842804869e-13, 6.798143263648162e+00, 8.627531886050958e+00, 1.239806642452017e+05, 1.676792726317637e+03
2628, 3.734709048858119e-02, 1.196461080271140e-03, 4.798674505820208e-01, 3.626202397345896e-03, 4.829782347374249e-13, 4.600943783810778e+01, 1.532927675928737e+00, 8.839370826219673e+04, 1.395077037722179e-01
2629, 3.714329141175025e-02, 1.004650275822519e-03, 5.074877584567080e-01, 3.834920089094058e-03, 5.108724717218308e-13, 4.595279230019437e+01, 1.333449768148583e+00, 8.382943952097540e+04, 8.146223525980431e-02
2630, 7.572152861874344e-02, 7.722334606931049e-04, 1.127115487108900e+00, 8.517245494526638e-03, 1.134971055499744e-12, -2.373764977489756e+01, -7.656694500380691e-02, -4.803068404081823e+04, 2.708062332317111e-04
2631, 4.054517161653469e-02, 3.190221478828267e-03, 2.776234071942916e-01, 2.097909878042100e-03, 2.800228816096787e-13, 3.140011592073531e+01, 5.872597799309738e+00, 1.188029236951783e+05, 1.543548342813180e+01
2632, 5.673477734577330e-02, 1.493322175859507e-03, 9.915799789599811e-02, 7.493047699949875e-04, 9.986615772739265e-14, 9.324072264458865e+00, 1.229860414409926e+00, 1.490697945103896e+05, 3.719821776066415e+03
2633, 2.731113560941577e-02, 3.075203049720107e-03, 1.565006185272525e+00, 1.182624321364711e-02, 1.576225826905572e-12, 3.575118356160406e+01, -6.266565177776131e+00, -1.110378833844131e+05, 3.639734797297261e-04
2634, 2.640318968158580e-02, 1.022795899978775e-03, 1.583407782581738e+00, 1.196529810515257e-02, 1.594704532485666e-12, 5.709905841746982e+01, -4.037968692053696e+00, -1.134027367655881e+05, 3.682507755335929e-04
2635, 2.967925491349115e-02, 1.319228905641250e-03, 1.575323348855897e+00, 1.190420666641823e-02, 1.586586497440493e-12, 7.428290986583484e+01, -3.197733841095487e+00, -1.137066091949899e+05, 3.663766016790700e-04
